Kayseri,Turkiye,35.777000N,38.444000E
Istanbul,Turkiye,41.0082° N,28.9784° E
Ankara,Turkiye,39.9334° N,32.8597° E
Cairo,Egypt,30.0444° N,31.2357° E
Moscow,Russia,55.7558° N,37.6173° E
Helsinki,Finland,60.1699° N,24.9384° E
Stockholm,Sweden,59.3293° N,18.0686° E
Hamburg,Germany,53.5488° N,9.9872° E
Paris,France,48.8566° N,2.3522° E
London,UK,51.5072° N,0.1276° W
New York,USA,40.7128° N,74.0060° W
Miami,USA,25.7617° N,80.1918° W
Mexico City,Mexico,19.4326° N,99.1332° W
Rio de Janeiro,Brazil,22.9068° S,43.1729° W
Tierra del Fuego,Argentina,54.3084° S,67.7452° W
